player_id,nombre,liga,eventos_total,tiros,tiros_a_puerta,goles,penales_tirados,penales_metidos,tiros_fuera_area,tiros_fuera_a_puerta,goles_fuera_area,tiros_area_grande,goles_area_grande,tiros_area_pequena,goles_area_pequena,tiros_cabeza,goles_cabeza,tiros_pie_izq,goles_pie_izq,tiros_pie_der,goles_pie_der,tiros_falta_directa,goles_falta_directa,tiros_tras_cruce,goles_tras_cruce,tiros_bloqueados,regates_intentados,regates_exitosos,regates_ultimo_tercio,regates_ultimo_tercio_ok,pases_clave,pases_clave_desde_cruce,pases_asistencia,recuperaciones_total,recuperaciones_ultimo_tercio,recuperaciones_zona_baja,entradas_total,entradas_exitosas,entradas_ultimo_tercio,intercepciones_total,intercepciones_zona_baja,aereos_total,aereos_ganados,distancia_promedio_tiro,acierto_tiros_fuera_pct,puerta_tiros_fuera_pct,pct_goles_desde_fuera,pct_tiros_desde_fuera,pct_tiros_pie_izq,pct_tiros_pie_der,pct_tiros_cabeza,pct_regates_exito,pct_aereos_ganados,pct_entradas_exitosas,xg,g_menos_xg
26atxu4fr8f87oi8mt6z70mhh,Pau López,Liga MX,651,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,1,1,0,0,0,2,0,0.6,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.04,0.96
cjqwtxwyqdy1o1ehr8yrdbnit,Josef Martínez,MLS,650,54,42,14,1,0,4,3,0,39,9,11,5,15,3,27,8,9,3,2,0,43,10,30,7,2,3,1,17,0,0,38,14,14,1,0,0,1,0,48,16,19.6,0.0,75.0,0.0,7.4,50.0,16.7,27.8,28.6,33.3,0.0,8.66,5.34
4g7gvfeag9jijhs7plmcci0vd,Marcelinho,Brasil B,650,34,19,1,2,0,24,14,0,8,1,2,0,0,0,4,1,2,0,4,0,5,0,19,17,1,11,0,16,0,0,47,6,32,11,11,2,5,4,20,1,34.8,0.0,58.3,0.0,70.6,11.8,5.9,0.0,5.9,5.0,100.0,4.06,-3.06
bhzjqo4qidpkmh7lqqir9h4ic,J. Badwal,MLS,650,7,7,1,0,0,0,0,0,7,1,0,0,3,0,4,1,0,0,0,0,5,1,6,18,6,9,2,5,0,0,37,5,21,19,10,2,15,11,20,7,15.8,0.0,0.0,0.0,0.0,57.1,0.0,42.9,33.3,35.0,52.6,0.9,0.1
8lf4x4p8wunu2bxph9fgk5g45,G. Cortéz,Ecuador,649,29,18,6,0,0,19,10,2,8,4,2,0,1,1,5,3,21,2,3,0,5,2,12,20,7,9,1,22,0,0,17,3,9,1,0,0,0,0,17,4,28.0,10.5,52.6,33.3,65.5,17.2,72.4,3.4,35.0,23.5,0.0,2.28,3.72
alqnanizwho9z46di0qrv5u22,L. Rey,Liga MX,649,9,6,1,1,0,0,0,0,7,0,2,1,7,0,1,0,1,1,0,0,8,1,5,5,4,1,1,0,0,0,23,0,20,16,6,0,15,13,30,18,28.5,0.0,0.0,0.0,0.0,11.1,11.1,77.8,80.0,60.0,37.5,2.18,-1.18
b9q69u0q11bjpu0393sdy50,Á. Padilla,Liga MX,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,12,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2wdelc2e5oc4usb03p86ztwid,F. Arancibia,Chile,648,19,13,0,0,0,5,4,0,11,0,3,0,1,0,2,0,3,0,1,0,2,0,14,56,27,37,15,17,0,0,41,2,28,8,8,1,3,1,18,7,19.7,0.0,80.0,0.0,26.3,10.5,15.8,5.3,48.2,38.9,100.0,2.35,-2.35
9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,Liga MX,648,17,8,3,0,0,2,1,0,12,2,3,1,13,2,1,1,3,0,0,0,14,2,7,0,0,0,0,1,0,0,33,0,26,10,8,0,6,4,21,14,26.1,0.0,50.0,0.0,11.8,5.9,17.6,76.5,0.0,66.7,80.0,2.36,0.64
17a989tga5c65kab1w8hll17u,S. Contreras,Chile,647,12,11,2,0,0,4,3,0,8,2,0,0,0,0,7,1,2,1,2,0,6,2,9,18,6,10,2,5,0,0,19,1,16,20,16,3,1,0,26,16,15.0,0.0,75.0,0.0,33.3,58.3,16.7,0.0,33.3,61.5,80.0,1.19,0.81
d74kbwi43w94hu3lsop84amtw,H. Jurado,Liga MX,646,9,6,0,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,6,31,15,15,7,14,0,0,40,2,26,20,18,1,10,8,14,3,21.2,0.0,50.0,0.0,44.4,0.0,0.0,0.0,48.4,21.4,90.0,0.8,-0.8
3dwnqkm4434be7lvlvmfnbxex,A. Maldonado,Argentina,646,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,29,0,25,15,10,0,6,6,42,27,19.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.3,64.3,66.7,0.13,-0.13
b5557z8necef4bq85frnoyled,A. Canelo,Argentina,646,14,7,2,0,0,3,2,0,11,2,0,0,6,1,4,1,4,0,1,0,8,1,6,13,5,9,4,6,0,0,29,3,23,18,11,5,1,0,30,12,23.1,0.0,66.7,0.0,21.4,28.6,28.6,42.9,38.5,40.0,61.1,1.54,0.46
bq8o0fj3sxzoqs0mlq0rbqnl5,R. de la Rosa,Liga MX,645,38,21,2,1,0,11,7,1,25,1,2,0,6,0,15,1,11,1,3,0,15,1,20,22,7,9,2,13,0,0,27,3,17,4,4,1,0,0,30,10,28.2,9.1,63.6,50.0,28.9,39.5,28.9,15.8,31.8,33.3,100.0,4.94,-2.94
