player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
e3rb3eobj2plu6ggwamuo287o,B. Ramírez,2750,50,PLATA,13,,43,BRONCE,33,BRONCE,20,,87,ORO,90,ORO,33,BRONCE,33,BRONCE,6,69,111,25,35,2,5.7,1,56.8,44,186,116,19
n1nzia6h1nz3s0j1f9ybb2l1,C. Corvalán,2037,0,,43,BRONCE,57,PLATA,10,,0,,0,,0,,50,PLATA,53,PLATA,1,14,8,77,7,0,0.0,1,61.6,125,127,111,3
ac2xovgd1dyiahycxul215ko9,J. Millán,1650,13,,70,PLATA,80,ORO,20,,30,BRONCE,0,,57,PLATA,70,PLATA,77,ORO,5,13,21,90,14,0,0.0,3,58.1,155,157,143,3
609edevf8qla1f6vi4mjkkgkp,Jesús Alberto Angulo,1409,20,,10,,70,PLATA,50,PLATA,0,,67,PLATA,13,,37,BRONCE,100,ORO,0,29,12,42,8,0,0.0,0,58.3,72,174,142,7
8b81chchn3min9a8uk8wkipcl,E. Segura,2793,0,,43,BRONCE,0,,0,,0,,0,,0,,37,BRONCE,0,,1,11,6,45,3,0,0.0,1,60.0,75,134,119,2
b3lwrjpn01y0z8py3o3sp3tre,D. Ayala,2935,37,BRONCE,10,,23,,10,,0,,20,,57,PLATA,13,,43,BRONCE,2,15,24,30,18,0,0.0,0,56.6,53,199,143,12
4362u0jkr9xbj4d87te7ucrxm,Franco Romero,2421,23,,0,,70,PLATA,30,BRONCE,0,,20,,37,BRONCE,0,,90,ORO,2,16,22,13,10,0,0.0,0,39.4,33,267,194,4
9q7wmfzk1bq7f9fb7wge6fnx1,A. Nájar,2814,33,BRONCE,0,,23,,0,,0,,40,BRONCE,80,ORO,13,,23,,2,38,49,21,10,0,0.0,0,55.3,38,155,128,8
51gu23f6rpg1j0hs6d8dtpn56,J. Caicedo,1548,47,BRONCE,43,BRONCE,47,BRONCE,30,BRONCE,0,,33,BRONCE,23,,50,PLATA,90,ORO,2,24,16,60,25,1,4.0,1,57.7,104,174,128,6
atlhp647xbdajgdbtrecq727d,A. Bouzat,2144,13,,0,,47,BRONCE,53,PLATA,0,,20,,47,BRONCE,13,,100,ORO,0,20,24,33,13,0,0.0,0,32.4,102,231,155,16
3zortk8qjjqazodqzr6jsj71m,L. Arce,2033,13,,0,,23,,10,,0,,53,PLATA,13,,13,,57,PLATA,0,34,15,22,10,0,0.0,0,43.1,51,145,108,9
7bdh2nvahmg6fbcv0h1dmmrxl,J. Aguirre,1842,0,,70,PLATA,57,PLATA,10,,10,,0,,0,,60,PLATA,33,BRONCE,3,10,1,124,0,0,0.0,3,62.3,199,129,119,2
ew15n1tgyp9phnohfcagddtqt,R. Caicedo,3248,13,,10,,10,,10,,0,,40,BRONCE,57,PLATA,50,PLATA,13,,2,36,29,63,10,0,0.0,0,55.8,113,182,139,15
9x4zu1o3adl4otm7wqzqvz6xh,Unai Bilbao,1453,0,,53,PLATA,67,PLATA,20,,10,,0,,0,,70,PLATA,77,ORO,3,6,4,78,3,0,0.0,1,67.8,115,108,97,1
83ifjcbrq6y33g8qdmi6jwiui,B. González,1376,13,,30,BRONCE,80,ORO,40,BRONCE,0,,53,PLATA,27,,57,PLATA,87,ORO,0,27,27,52,9,0,0.0,0,63.4,82,139,105,8
d52r58bqg5ef5nf3lm0wgc8ic,A. Giay,1973,13,,10,,37,BRONCE,40,BRONCE,0,,53,PLATA,27,,33,BRONCE,57,PLATA,1,30,27,30,11,0,0.0,0,58.8,51,150,123,10
3s1bss81k11vwd78ejbk1tiol,Josué,2711,40,BRONCE,0,,0,,0,,33,BRONCE,100,ORO,57,PLATA,0,,0,,6,86,23,4,36,2,5.6,0,17.4,23,90,56,6
64gu02ctffkrmdh0pr3lojyeh,A. Vega,1354,40,BRONCE,27,,47,BRONCE,100,ORO,80,ORO,100,ORO,70,PLATA,0,,90,ORO,16,83,55,15,67,3,4.5,2,45.5,33,181,110,28
75fze9pkbgv3baqwnyqnzxbe,A. Bernabéi,2582,27,,0,,10,,20,,0,,73,PLATA,70,PLATA,0,,33,BRONCE,0,49,36,16,24,0,0.0,0,31.4,51,153,105,15
49b3varj1tkw3y62hwmf7ptsk,T. Santamaría,923,13,,0,,70,PLATA,87,ORO,0,,80,ORO,23,,0,,100,ORO,1,33,19,18,12,1,8.3,0,38.3,47,133,102,9
306gjy5xp2u15gh9qwrek551x,J. Gallardo,1603,23,,23,,37,BRONCE,20,,40,BRONCE,87,ORO,47,BRONCE,27,,57,PLATA,7,41,21,43,9,1,11.1,1,54.4,79,140,119,8
6d2j5ay859296f8u6q40hu4t1,Reinaldo,2893,40,BRONCE,13,,0,,0,,77,ORO,73,PLATA,70,PLATA,0,,0,,13,57,35,10,28,2,7.1,1,33.3,30,127,91,10
